Center Cut Top Sirloin Steak (gf),$27.00,Parkside Restaurant
NC Chicken Breast,$24.00,Parkside Restaurant
Baked Haddock,$24.00,Parkside Restaurant
Mashed Potatoes,$4.50,Parkside Restaurant
Slaw,$4.50,Parkside Restaurant
Tater Tots,$4.50,Parkside Restaurant
Park-Side Salad,$4.50,Parkside Restaurant
Green Beans,$4.50,Parkside Restaurant
Tomato Bisque,$5.50,Parkside Restaurant
Broccoli,$4.50,Parkside Restaurant
Macaroni and Cheese,$5.50,Parkside Restaurant
French Fries,$4.50,Parkside Restaurant
Buttered Corn,$4.50,Parkside Restaurant
Grits,$4.50,Parkside Restaurant
Pimento Cheese and Fried Saltines,$12.00,Parkside Restaurant
Hummus Plate,$13.00,Parkside Restaurant
Bananas Foster Challah French Toast,$16.00,Parkside Restaurant
Fried Pork Chop With Waffle,$19.00,Parkside Restaurant
Biscuit & Chorizo Gravy,$15.00,Parkside Restaurant
Fried Chicken Biscuit Bowl,$18.00,Parkside Restaurant
Prime Rib Scramble Bowl,$20.00,Parkside Restaurant
Braised Boneless Short Rib Benedict,$19.00,Parkside Restaurant
Breakfast Burrito,$16.00,Parkside Restaurant
Sweet Waffles,$14.00,Parkside Restaurant
Brunch Burger,$18.00,Parkside Restaurant
Buffalo Fried Chicken Sandwich,$17.00,Parkside Restaurant
Cheese Grits,$4.50,Parkside Restaurant
Tomato Bisque,$4.50,Parkside Restaurant
Tater Tot Hash,$4.50,Parkside Restaurant
Bacon,$3.00,Parkside Restaurant
Buttermilk Biscuit,$3.25,Parkside Restaurant
Sourdough Toast,$3.00,Parkside Restaurant
Mixed Berries,$5.00,Parkside Restaurant
Mimosa Flight,$22.00,Parkside Restaurant
Spicy Bloody Mary,$10.00,Parkside Restaurant
Mason,$7.00,Parkside Restaurant
Mary,$7.00,Parkside Restaurant
Mimosa,$5.00,Parkside Restaurant
Chicken n Waffles,$12.99,Raleigh Soul Kitchen
Soul Wings Platter (Fried),$13.99,Raleigh Soul Kitchen
Hennessy Hot Honey Wings,$15.99,Raleigh Soul Kitchen
Casamigos Sweet Chili Lime Wings,$15.99,Raleigh Soul Kitchen
Sticky Ribs,$12.99,Raleigh Soul Kitchen
Fried Pork Chops,$12.99,Raleigh Soul Kitchen
Southern Fried Catfish Platter,$12.99,Raleigh Soul Kitchen
Fried Shrimp Platter,$14.99,Raleigh Soul Kitchen
Fried Salmon rice bowl,$14.99,Raleigh Soul Kitchen
Fried Salmon Platter,$17.99,Raleigh Soul Kitchen
Jerk Chicken Plate,$11.99,Raleigh Soul Kitchen
Oxtail Plate,$21.99,Raleigh Soul Kitchen
Oxtail Rasta Pasta,$20.99,Raleigh Soul Kitchen
Collard Greens,$3.99,Raleigh Soul Kitchen
Mac n Cheese,$4.99,Raleigh Soul Kitchen
Rice and Peas,$3.99,Raleigh Soul Kitchen
French Fries,$3.99,Raleigh Soul Kitchen
Yellow Rice,$3.99,Raleigh Soul Kitchen
Yams,$4.99,Raleigh Soul Kitchen
Cabbage,$3.99,Raleigh Soul Kitchen
6 Wings,$9.50,Raleigh Soul Kitchen
Side Sticky Ribs,$8.50,Raleigh Soul Kitchen
Side Oxtail,$13.99,Raleigh Soul Kitchen
Honey Butter Cornbread (1 Piece),$1.99,Raleigh Soul Kitchen
Catfish (1 Piece),$5.50,Raleigh Soul Kitchen
Side Shrimp (10),$9.50,Raleigh Soul Kitchen
Oxtail (Half Tray),$240.00,Raleigh Soul Kitchen
Oxtail (Full Tray),$375.00,Raleigh Soul Kitchen
Jerk Chicken (Half Tray),$85.00,Raleigh Soul Kitchen
Jerk Chicken (Full Tray),$160.00,Raleigh Soul Kitchen
Fried or Blackened Salmon (Half Tray),$175.00,Raleigh Soul Kitchen
Fried or Blackened Salmon (Full Tray),$265.00,Raleigh Soul Kitchen
Fried Pork Chops (Half Tray),$85.00,Raleigh Soul Kitchen
Fried Pork Chops (Full Tray),$160.00,Raleigh Soul Kitchen
Fried Shrimp (Half Tray),$165.00,Raleigh Soul Kitchen
Fried Shrimp (Full Tray),$255.00,Raleigh Soul Kitchen
Turkey Wings (Half Tray),$85.00,Raleigh Soul Kitchen
Turkey Wings (Full Tray),$160.00,Raleigh Soul Kitchen
Soul Wings (Half Tray),$115.00,Raleigh Soul Kitchen
Soul Wings (Full Tray),$170.00,Raleigh Soul Kitchen
Mac N Cheese (Half Tray),$50.00,Raleigh Soul Kitchen
Mac N Cheese (Full Tray),$90.00,Raleigh Soul Kitchen
Collard Greens (Half Tray),$40.00,Raleigh Soul Kitchen
Collard Greens (Full Tray),$75.00,Raleigh Soul Kitchen
Rice & Peas (Half Tray),$40.00,Raleigh Soul Kitchen
Rice & Peas (Full Tray),$75.00,Raleigh Soul Kitchen
Yellow Rice (Half Tray),$40.00,Raleigh Soul Kitchen
Yellow Rice (Full Tray),$75.00,Raleigh Soul Kitchen
Cabbage (Half Tray),$40.00,Raleigh Soul Kitchen
Cabbage (Full Tray),$75.00,Raleigh Soul Kitchen
Potato Salad (Half Tray),$45.00,Raleigh Soul Kitchen
Potato Salad (Full Tray),$85.00,Raleigh Soul Kitchen
Yams (Half Tray),$50.00,Raleigh Soul Kitchen
Yams (Full Tray),$95.00,Raleigh Soul Kitchen
